Timestamp,Game ID,Date (UTC),Home Team,Home Score,Away Team,Away Score,Game Status
2025-02-09 02:42:50,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:42:50,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:42:50,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:42:50,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,68,Q3 7:29
2025-02-09 02:42:50,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,Q3 4:13
2025-02-09 02:42:50,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,78,Q3 3:31
2025-02-09 02:42:50,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Half
2025-02-09 02:42:50,0022400749,2025-02-09T02:00:00Z,Suns,34,Nuggets,43,Q2 9:22
2025-02-09 02:42:50,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:42:50,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:43:21,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:43:21,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:43:21,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:43:21,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:43:21,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:43:21,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:43:21,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:43:21,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,3rd Qtr             
2025-02-09 02:43:21,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,78,3rd Qtr             
2025-02-09 02:43:21,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:43:21,0022400749,2025-02-09T02:00:00Z,Suns,37,Nuggets,43,2nd Qtr             
2025-02-09 02:43:21,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:43:21,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:43:52,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:43:52,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:43:52,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:43:52,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:43:52,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:43:52,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:43:52,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:43:52,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,3rd Qtr             
2025-02-09 02:43:52,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,78,3rd Qtr             
2025-02-09 02:43:52,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:43:52,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,43,2nd Qtr             
2025-02-09 02:43:52,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:43:52,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:44:23,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:44:23,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:44:23,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:44:23,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:44:23,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:44:23,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:44:23,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:44:23,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,3rd Qtr             
2025-02-09 02:44:23,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,78,3rd Qtr             
2025-02-09 02:44:23,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:44:23,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:44:23,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:44:23,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:44:54,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:44:54,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:44:54,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:44:54,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:44:54,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:44:54,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:44:54,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:44:54,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,3rd Qtr             
2025-02-09 02:44:54,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,79,3rd Qtr             
2025-02-09 02:44:54,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:44:54,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:44:54,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:44:54,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:45:25,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:45:25,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:45:25,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:45:25,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:45:25,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:45:25,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:45:25,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,Q3 7:06
2025-02-09 02:45:25,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,92,Q3 3:51
2025-02-09 02:45:25,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,80,Q3 2:24
2025-02-09 02:45:25,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Half
2025-02-09 02:45:25,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,Q2 7:54
2025-02-09 02:45:25,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:45:25,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:45:57,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:45:57,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:45:57,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:45:57,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:45:57,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:45:57,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:45:57,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:45:57,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:45:57,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,80,3rd Qtr             
2025-02-09 02:45:57,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:45:57,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:45:57,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:45:57,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:46:28,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:46:28,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:46:28,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:46:28,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:46:28,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:46:28,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:46:28,0022400745,2025-02-09T01:00:00Z,Bulls,83,Warriors,71,3rd Qtr             
2025-02-09 02:46:28,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:46:28,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,80,3rd Qtr             
2025-02-09 02:46:28,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:46:28,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:46:28,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:46:28,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:46:59,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:46:59,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:46:59,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:46:59,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:46:59,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:46:59,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:46:59,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,71,3rd Qtr             
2025-02-09 02:46:59,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:46:59,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,82,3rd Qtr             
2025-02-09 02:46:59,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:46:59,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:46:59,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:46:59,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:47:09,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:47:09,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:47:09,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:47:09,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:47:09,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:47:09,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:47:09,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,71,3rd Qtr             
2025-02-09 02:47:09,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:47:09,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,82,3rd Qtr             
2025-02-09 02:47:09,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:47:09,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:47:09,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:47:09,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:47:30,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:47:30,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:47:30,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:47:30,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:47:30,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:47:30,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:47:30,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,71,3rd Qtr             
2025-02-09 02:47:30,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:47:30,0022400747,2025-02-09T01:00:00Z,Timberwolves,71,Trail Blazers,84,3rd Qtr             
2025-02-09 02:47:30,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:47:30,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:47:30,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:47:30,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:47:40,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:47:40,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:47:40,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:47:40,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:47:40,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:47:40,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:47:40,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,71,3rd Qtr             
2025-02-09 02:47:40,0022400746,2025-02-09T01:00:00Z,Grizzlies,70,Thunder,97,3rd Qtr             
2025-02-09 02:47:40,0022400747,2025-02-09T01:00:00Z,Timberwolves,73,Trail Blazers,84,3rd Qtr             
2025-02-09 02:47:40,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:47:40,0022400749,2025-02-09T02:00:00Z,Suns,39,Nuggets,45,2nd Qtr             
2025-02-09 02:47:40,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:47:40,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:48:01,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:48:01,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:48:01,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:48:01,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:48:01,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:48:01,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:48:01,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,73,Q3 6:21
2025-02-09 02:48:01,0022400746,2025-02-09T01:00:00Z,Grizzlies,71,Thunder,97,Q3 3:24
2025-02-09 02:48:01,0022400747,2025-02-09T01:00:00Z,Timberwolves,73,Trail Blazers,84,Q3 1:08
2025-02-09 02:48:01,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Half
2025-02-09 02:48:01,0022400749,2025-02-09T02:00:00Z,Suns,41,Nuggets,47,Q2 6:48
2025-02-09 02:48:01,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:48:01,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:48:11,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:48:11,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:48:11,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:48:11,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:48:11,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:48:11,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:48:11,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,73,3rd Qtr             
2025-02-09 02:48:11,0022400746,2025-02-09T01:00:00Z,Grizzlies,71,Thunder,97,3rd Qtr             
2025-02-09 02:48:11,0022400747,2025-02-09T01:00:00Z,Timberwolves,73,Trail Blazers,84,3rd Qtr             
2025-02-09 02:48:11,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:48:11,0022400749,2025-02-09T02:00:00Z,Suns,41,Nuggets,47,2nd Qtr             
2025-02-09 02:48:11,0022400750,2025-02-09T03:00:00Z,Kings,0,Pelicans,0,10:00 pm ET
2025-02-09 02:48:11,0022400751,2025-02-09T03:30:00Z,Clippers,0,Jazz,0,10:30 pm ET
2025-02-09 02:48:32,0022400728,2025-02-07T00:30:00Z,Celtics,0,Mavericks,0,7:30 pm ET
2025-02-09 02:48:32,0022400729,2025-02-07T01:00:00Z,Timberwolves,0,Rockets,0,8:00 pm ET
2025-02-09 02:48:32,0022400730,2025-02-07T02:00:00Z,Nuggets,0,Magic,0,9:00 pm ET
2025-02-09 02:48:32,0022400731,2025-02-07T03:00:00Z,Lakers,0,Warriors,0,10:00 pm ET
2025-02-09 02:48:32,0022400732,2025-02-07T03:00:00Z,Trail Blazers,0,Kings,0,10:00 pm ET
2025-02-09 02:48:32,0022400733,2025-02-07T03:30:00Z,Clippers,0,Pacers,0,10:30 pm ET
2025-02-09 02:48:32,0022400745,2025-02-09T01:00:00Z,Bulls,87,Warriors,73,3rd Qtr             
2025-02-09 02:48:32,0022400746,2025-02-09T01:00:00Z,Grizzlies,71,Thunder,97,3rd Qtr             
2025-02-09 02:48:32,0022400747,2025-02-09T01:00:00Z,Timberwolves,73,Trail Blazers,84,3rd Qtr             
2025-02-09 02:48:32,0022400748,2025-02-09T01:30:00Z,Knicks,48,Celtics,61,Halftime            
2025-02-09 02:48:32,0022400749,2025-02-09T02:00:00Z,Suns,41,Nuggets,47,2nd Qtr             
